year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1926,Regular,Washington State,USC,0,1,0,1,0.0
1926,Regular,Washington State,Washington,1,0,0,1,100.0
1927,Regular,California (Cal),Oregon,1,0,0,1,100.0
1927,Regular,California (Cal),Stanford,0,1,0,1,0.0
1927,Regular,California (Cal),USC,0,1,0,1,0.0
1927,Regular,California (Cal),Washington,0,1,0,1,0.0
1927,Regular,Colorado,USC,0,1,0,1,0.0
1927,Regular,Colorado,Utah,0,1,0,1,0.0
1927,Regular,Oregon,California (Cal),0,1,0,1,0.0
1927,Regular,Oregon,Oregon State,0,1,0,1,0.0
1927,Regular,Oregon,Stanford,0,1,0,1,0.0
1927,Regular,Oregon,Washington,0,1,0,1,0.0
1927,Regular,Oregon State,Oregon,1,0,0,1,100.0
1927,Regular,Oregon State,Stanford,0,1,0,1,0.0
1927,Regular,Oregon State,USC,0,1,0,1,0.0
1927,Regular,Oregon State,Washington State,1,0,0,1,100.0
1927,Regular,Stanford,California (Cal),1,0,0,1,100.0
1927,Regular,Stanford,Oregon,1,0,0,1,100.0
1927,Regular,Stanford,Oregon State,1,0,0,1,100.0
1927,Regular,Stanford,USC,0,0,1,1,0.0
1927,Regular,Stanford,Washington,1,0,0,1,100.0
1927,Regular,USC,California (Cal),1,0,0,1,100.0
1927,Regular,USC,Colorado,1,0,0,1,100.0
1927,Regular,USC,Oregon State,1,0,0,1,100.0
1927,Regular,USC,Stanford,0,0,1,1,0.0
1927,Regular,USC,Washington,1,0,0,1,100.0
1927,Regular,USC,Washington State,1,0,0,1,100.0
1927,Regular,Utah,Colorado,1,0,0,1,100.0
1927,Regular,Washington,California (Cal),1,0,0,1,100.0
1927,Regular,Washington,Oregon,1,0,0,1,100.0
1927,Regular,Washington,Stanford,0,1,0,1,0.0
1927,Regular,Washington,USC,0,1,0,1,0.0
1927,Regular,Washington,Washington State,1,0,0,1,100.0
1927,Regular,Washington State,Oregon State,0,1,0,1,0.0
1927,Regular,Washington State,USC,0,1,0,1,0.0
1927,Regular,Washington State,Washington,0,1,0,1,0.0
1928,Regular,Arizona,UCLA,0,0,1,1,0.0
1928,Regular,Arizona,USC,0,1,0,1,0.0
1928,Regular,California (Cal),Oregon,1,0,0,1,100.0
1928,Regular,California (Cal),Stanford,0,0,1,1,0.0
1928,Regular,California (Cal),USC,0,0,1,1,0.0
1928,Regular,California (Cal),Washington,1,0,0,1,100.0
1928,Regular,California (Cal),Washington State,1,0,0,1,100.0
1928,Regular,Colorado,Utah,0,1,0,1,0.0
1928,Regular,Oregon,California (Cal),0,1,0,1,0.0
1928,Regular,Oregon,Oregon State,1,0,0,1,100.0
1928,Regular,Oregon,Stanford,0,1,0,1,0.0
1928,Regular,Oregon,UCLA,1,0,0,1,100.0
1928,Regular,Oregon,Washington,1,0,0,1,100.0
1928,Regular,Oregon State,Oregon,0,1,0,1,0.0
1928,Regular,Oregon State,USC,0,1,0,1,0.0
1928,Regular,Oregon State,Washington,1,0,0,1,100.0
1928,Regular,Oregon State,Washington State,0,1,0,1,0.0
1928,Regular,Stanford,California (Cal),0,0,1,1,0.0
1928,Regular,Stanford,Oregon,1,0,0,1,100.0
1928,Regular,Stanford,UCLA,1,0,0,1,100.0
1928,Regular,Stanford,USC,0,1,0,1,0.0
1928,Regular,Stanford,Washington,1,0,0,1,100.0
1928,Regular,UCLA,Arizona,0,0,1,1,0.0
1928,Regular,UCLA,Oregon,0,1,0,1,0.0
1928,Regular,UCLA,Stanford,0,1,0,1,0.0
1928,Regular,UCLA,Washington State,0,1,0,1,0.0
1928,Regular,USC,Arizona,1,0,0,1,100.0
1928,Regular,USC,California (Cal),0,0,1,1,0.0
1928,Regular,USC,Oregon State,1,0,0,1,100.0
1928,Regular,USC,Stanford,1,0,0,1,100.0
1928,Regular,USC,Washington State,1,0,0,1,100.0
1928,Regular,Utah,Colorado,1,0,0,1,100.0
1928,Regular,Washington,California (Cal),0,1,0,1,0.0
1928,Regular,Washington,Oregon,0,1,0,1,0.0
1928,Regular,Washington,Oregon State,0,1,0,1,0.0
1928,Regular,Washington,Stanford,0,1,0,1,0.0
1928,Regular,Washington,Washington State,1,0,0,1,100.0
1928,Regular,Washington State,California (Cal),0,1,0,1,0.0
1928,Regular,Washington State,Oregon State,1,0,0,1,100.0
1928,Regular,Washington State,UCLA,1,0,0,1,100.0
1928,Regular,Washington State,USC,0,1,0,1,0.0
1928,Regular,Washington State,Washington,0,1,0,1,0.0
1929,Regular,California (Cal),Stanford,0,1,0,1,0.0
1929,Regular,California (Cal),USC,1,0,0,1,100.0
1929,Regular,California (Cal),Washington,1,0,0,1,100.0
1929,Regular,California (Cal),Washington State,1,0,0,1,100.0
1929,Regular,Colorado,Utah,0,1,0,1,0.0
1929,Regular,Oregon,Oregon State,1,0,0,1,100.0
1929,Regular,Oregon,Stanford,0,1,0,1,0.0
1929,Regular,Oregon,UCLA,1,0,0,1,100.0
1929,Regular,Oregon,Washington,1,0,0,1,100.0
1929,Regular,Oregon State,Oregon,0,1,0,1,0.0
1929,Regular,Oregon State,Stanford,0,1,0,1,0.0
1929,Regular,Oregon State,USC,0,1,0,1,0.0
1929,Regular,Oregon State,Washington State,0,1,0,1,0.0
1929,Regular,Stanford,California (Cal),1,0,0,1,100.0
1929,Regular,Stanford,Oregon,1,0,0,1,100.0
1929,Regular,Stanford,Oregon State,1,0,0,1,100.0
1929,Regular,Stanford,UCLA,1,0,0,1,100.0
1929,Regular,Stanford,USC,0,1,0,1,0.0
1929,Regular,Stanford,Washington,1,0,0,1,100.0
1929,Regular,UCLA,Oregon,0,1,0,1,0.0
1929,Regular,UCLA,Stanford,0,1,0,1,0.0
1929,Regular,UCLA,USC,0,1,0,1,0.0
1929,Regular,USC,California (Cal),0,1,0,1,0.0
1929,Regular,USC,Oregon State,1,0,0,1,100.0
1929,Regular,USC,Stanford,1,0,0,1,100.0
1929,Regular,USC,UCLA,1,0,0,1,100.0
1929,Regular,USC,Washington,1,0,0,1,100.0
1929,Regular,USC,Washington State,1,0,0,1,100.0
1929,Regular,Utah,Colorado,1,0,0,1,100.0
1929,Regular,Washington,California (Cal),0,1,0,1,0.0
1929,Regular,Washington,Oregon,0,1,0,1,0.0
