year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1902,Regular,Virginia Tech,Virginia,0,1,0,1,0.0
1902,Regular,Wisconsin,Kansas,1,0,0,1,100.0
1902,Regular,Wisconsin,Michigan,0,1,0,1,0.0
1902,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1902,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1903,Regular,Alabama,Auburn,1,0,0,1,100.0
1903,Regular,Alabama,LSU,1,0,0,1,100.0
1903,Regular,Alabama,Mississippi State,0,1,0,1,0.0
1903,Regular,Alabama,Tennessee,1,0,0,1,100.0
1903,Regular,Alabama,Vanderbilt,0,1,0,1,0.0
1903,Regular,Arkansas,Oklahoma,1,0,0,1,100.0
1903,Regular,Arkansas,Texas,0,1,0,1,0.0
1903,Regular,Auburn,Alabama,0,1,0,1,0.0
1903,Regular,Auburn,Georgia,0,1,0,1,0.0
1903,Regular,Auburn,Georgia Tech,1,0,0,1,100.0
1903,Regular,Auburn,LSU,1,0,0,1,100.0
1903,Regular,Baylor,TCU,2,0,0,2,100.0
1903,Regular,Baylor,Texas,0,1,0,1,0.0
1903,Regular,Baylor,Texas A&M,0,2,1,3,0.0
1903,Regular,Cincinnati,Northwestern,0,1,0,1,0.0
1903,Regular,Clemson,Georgia,1,0,0,1,100.0
1903,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1903,Regular,Clemson,NC State,1,0,0,1,100.0
1903,Regular,Clemson,North Carolina,0,1,0,1,0.0
1903,Regular,Colorado,Kansas,0,1,0,1,0.0
1903,Regular,Colorado,Nebraska,0,1,0,1,0.0
1903,Regular,Colorado,Utah,1,0,0,1,100.0
1903,Regular,Florida State,Georgia Tech,0,1,0,1,0.0
1903,Regular,Georgia,Auburn,1,0,0,1,100.0
1903,Regular,Georgia,Clemson,0,1,0,1,0.0
1903,Regular,Georgia,Georgia Tech,1,0,0,1,100.0
1903,Regular,Georgia,South Carolina,0,1,0,1,0.0
1903,Regular,Georgia,Tennessee,1,0,0,1,100.0
1903,Regular,Georgia,Vanderbilt,0,1,0,1,0.0
1903,Regular,Georgia Tech,Auburn,0,1,0,1,0.0
1903,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1903,Regular,Georgia Tech,Florida State,1,0,0,1,100.0
1903,Regular,Georgia Tech,Georgia,0,1,0,1,0.0
1903,Regular,Georgia Tech,South Carolina,0,1,0,1,0.0
