year,date,team_a,team_b,score_a,score_b,venue,notes
1997,10/25,Boston College,Notre Dame,20,52,,
1997,11/1,Boston College,Pittsburgh,22,21,,
1997,11/8,Boston College,Syracuse,13,20,,
1997,11/22,Army,Boston College,20,24,,
1996,8/31,Boston College,Hawaii,24,21,,
1996,9/14,Boston College,Virginia Tech,7,45,,
1996,9/21,Boston College,Michigan,14,20,,
1996,9/28,Boston College,Navy,43,38,,
1996,10/5,Boston College,West Virginia,17,34,,
1996,10/12,Boston College,Cincinnati,24,17,,
1996,10/19,Boston College,Rutgers,37,13,,
1996,10/26,Boston College,Syracuse,17,45,,
1996,10/31,Boston College,Pittsburgh,13,20,,
1996,11/9,Boston College,Notre Dame,21,48,,
1996,11/16,Boston College,Temple,21,20,,
1996,11/23,Boston College,Miami (Florida),26,43,,
1995,8/27,Boston College,Ohio State,6,38,"@ East Rutherford, NJ",Kick-off Classic
1995,9/7,Boston College,Virginia Tech,20,14,,
1995,9/16,Boston College,Michigan,13,23,,
1995,9/30,Boston College,Michigan State,21,25,,
1995,10/7,Boston College,Pittsburgh,17,0,,
1995,10/14,Boston College,West Virginia,19,31,,
1995,10/21,Army,Boston College,49,7,,
1995,10/28,Boston College,Notre Dame,10,20,,
1995,11/4,Boston College,Temple,10,9,,
1995,11/11,Boston College,Miami (Florida),14,17,,
1995,11/18,Boston College,Syracuse,29,58,,
1995,11/24,Boston College,Rutgers,41,38,,
1994,9/3,Boston College,Michigan,26,34,,
1994,9/17,Boston College,Virginia Tech,7,12,,
1994,9/24,Boston College,Pittsburgh,21,9,,
1994,10/8,Boston College,Notre Dame,30,11,,
1994,10/15,Boston College,Temple,45,28,,
1994,10/22,Boston College,Rutgers,7,7,,
1994,10/29,Army,Boston College,3,30,,
1994,11/3,Boston College,Louisville,35,14,,
1994,11/12,Boston College,Syracuse,31,0,,
1994,11/19,Boston College,West Virginia,20,21,,
1994,11/26,Boston College,Miami (Florida),7,23,,
1994,12/25,Boston College,Kansas State,12,7,"@ Honolulu, HI",Aloha Bowl
1993,9/4,Boston College,Miami (Florida),7,23,,
1993,9/18,Boston College,Northwestern,21,22,,
1993,9/25,Boston College,Temple,66,14,,
1993,10/2,Boston College,Syracuse,33,29,,
